Model,Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1-score,MCC,TN,FP,FN,TP,ROC-AUC,PR-AUC,Training Time (s),Inference Time (s)
Dummy Classifier,0.7105263157894737,0.5,0.7105263157894737,1.0,0.0,0.8307692307692308,0.0,0,33,0,81,0.5,0.7105263157894737,0.009171799989417195,0.003631100000347942
Logistic Regression,0.7192982456140351,0.5780022446689113,0.7474747474747475,0.9135802469135802,0.24242424242424243,0.8222222222222222,0.2093019857727076,8,25,7,74,0.8032173587729143,0.9268585977903507,0.015315700031351298,0.005434599996078759
