Model,Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1-score,MCC,TN,FP,FN,TP,ROC-AUC,PR-AUC,Training Time (s),Inference Time (s),Selection Score
Gradient Boosting (no SMOTE),0.7280701754385965,0.5572390572390572,0.7358490566037735,0.9629629629629629,0.15151515151515152,0.8342245989304813,0.20324694243999442,5,28,3,78,0.7474747474747475,0.900762860310119,0.20160430000396445,0.0030627999803982675,0.7754753416518122
Gradient Boosting (SMOTE),0.7368421052631579,0.6083052749719416,0.7628865979381443,0.9135802469135802,0.30303030303030304,0.8314606741573034,0.27578380325091933,10,23,7,74,0.7717919940142163,0.901626831305341,0.2950357000227086,0.0033109000069089234,0.7812845475142604
Random Forest (no SMOTE),0.7280701754385965,0.7368125701459034,0.8787878787878788,0.7160493827160493,0.7575757575757576,0.7891156462585034,0.4350524711508843,25,8,23,58,0.813692480359147,0.923766157145469,0.1761125999619253,0.006895600003190339,0.7639175198699009
Random Forest (SMOTE),0.7192982456140351,0.7216610549943883,0.8656716417910447,0.7160493827160493,0.7272727272727273,0.7837837837837838,0.4084440187606144,24,9,23,58,0.8035914702581369,0.9183644032436562,0.2035201999824494,0.007263100007548928,0.7562714229380896
