Model,CV Accuracy Mean,CV Accuracy Std,CV Balanced Accuracy Mean,CV Balanced Accuracy Std,CV Precision Mean,CV Precision Std,CV Recall Mean,CV Recall Std,CV F1 Mean,CV F1 Std,CV Roc Auc Mean,CV Roc Auc Std,CV Average Precision Mean,CV Average Precision Std,CV Mcc Mean,CV Mcc Std,Selection Score
Gradient Boosting,0.6771929824561403,0.01595912754268443,0.5776672312766383,0.020282779826947567,0.7546879170557503,0.014030665512168833,0.8116980989169129,0.03777187517020312,0.7815025062950802,0.01523336260484454,0.673949387606511,0.023966507906415895,0.8413257208662053,0.016305798468030035,0.1667186784646701,0.03596160589991113,0.7112043060237856
Random Forest,0.675,0.024297612253446555,0.6476092157482751,0.015387556351630029,0.8098709214299091,0.013850089885397817,0.7119783382564568,0.05279258964106804,0.756429883311586,0.027075026454608957,0.7153912201560464,0.026941110020856526,0.8715574883707768,0.018604228499983947,0.278141588151403,0.027946464951407405,0.7078521643680911
