Model,Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1-score,MCC,TN,FP,FN,TP,ROC-AUC,PR-AUC,Training Time (s),Inference Time (s),Selection Score
Gradient Boosting,0.7280701754385965,0.5572390572390572,0.7358490566037735,0.9629629629629629,0.15151515151515152,0.8342245989304813,0.20324694243999442,5,28,3,78,0.7474747474747475,0.900762860310119,0.22360570001183078,0.0028250999748706818,0.7754753416518122
Random Forest,0.7280701754385965,0.7368125701459034,0.8787878787878788,0.7160493827160493,0.7575757575757576,0.7891156462585034,0.4350524711508843,25,8,23,58,0.813692480359147,0.923766157145469,0.18302989995572716,0.007389500038698316,0.7639175198699009
Gradient Boosting (balanced),0.7192982456140351,0.5510662177328844,0.7333333333333333,0.9506172839506173,0.15151515151515152,0.8279569892473119,0.1717699793363849,5,28,4,77,0.7560793116348671,0.9062112462222323,0.10029309999663383,0.002639799960888922,0.7714299506414202
Random Forest (balanced),0.7368421052631579,0.590347923681257,0.7524752475247525,0.9382716049382716,0.24242424242424243,0.8351648351648352,0.2578192189094259,8,25,5,76,0.77665544332211,0.8966129675862347,0.10889019997557625,0.005400700028985739,0.7851099517766184
