Model,CV Accuracy Mean,CV Accuracy Std,CV Balanced Accuracy Mean,CV Balanced Accuracy Std,CV Precision Mean,CV Precision Std,CV Recall Mean,CV Recall Std,CV F1 Mean,CV F1 Std,CV Roc Auc Mean,CV Roc Auc Std,CV Average Precision Mean,CV Average Precision Std,CV Mcc Mean,CV Mcc Std,Selection Score
Gradient Boosting,0.6771929824561403,0.01595912754268443,0.5776672312766383,0.020282779826947567,0.7546879170557503,0.014030665512168833,0.8116980989169129,0.03777187517020312,0.7815025062950802,0.01523336260484454,0.673949387606511,0.023966507906415895,0.8413257208662053,0.016305798468030035,0.1667186784646701,0.03596160589991113,0.7112043060237856
Random Forest,0.675,0.024297612253446555,0.6476092157482751,0.015387556351630029,0.8098709214299091,0.013850089885397817,0.7119783382564568,0.05279258964106804,0.756429883311586,0.027075026454608957,0.7153912201560464,0.026941110020856526,0.8715574883707768,0.018604228499983947,0.278141588151403,0.027946464951407405,0.7078521643680911
Logistic Regression,0.6232456140350877,0.028114685106205874,0.6618565816520826,0.02175657934358495,0.8528951932913034,0.023593928678450265,0.5710558206468227,0.05236085228880672,0.6822326689961259,0.03543557824277144,0.7162318092924774,0.023786606176024756,0.873865478734413,0.011825610769330247,0.29475033113422466,0.03940988583665028,0.6578442201468772
SVM,0.5956140350877193,0.02953940042189955,0.6730254911338757,0.02686947820458939,0.8958502365737882,0.03224170084433167,0.4910626372794062,0.04826141457769461,0.6324423936028298,0.03931831881905612,0.7127522414468562,0.033321990168201754,0.8666409085281932,0.02020410247154518,0.3222415764335004,0.04887683435453374,0.627320690865742
MLP,0.4359649122807017,0.0531118438709495,0.5652482456572436,0.020031605356658752,0.8518702442875066,0.05511849666942237,0.2615920624100583,0.11173309648487927,0.3848898197745863,0.11615250715734156,0.6105238046308257,0.03175989847984456,0.8073915801176181,0.019227218539737762,0.1492147336407555,0.039449430447105985,0.45556348311817846
