Model,Accuracy mean,Accuracy std,Balanced Accuracy mean,Balanced Accuracy std,Precision mean,Precision std,Recall mean,Recall std,Specificity mean,Specificity std,F1-score mean,F1-score std,MCC mean,MCC std,TN mean,TN std,FP mean,FP std,FN mean,FN std,TP mean,TP std,ROC-AUC mean,ROC-AUC std,PR-AUC mean,PR-AUC std,Training Time (s) mean,Training Time (s) std,Inference Time (s) mean,Inference Time (s) std,Seed mean,Seed std
Gradient Boosting,0.6947368421052632,0.050543369441712074,0.5768799102132436,0.048266906352967855,0.7495038776588656,0.024763458217522707,0.8567901234567901,0.07590333900710806,0.296969696969697,0.09437825152968145,0.7984870994334641,0.03965010015954016,0.1877635438437632,0.110488977191697,9.8,3.1144823004794873,23.2,3.1144823004794873,11.6,6.148170459575759,69.4,6.148170459575757,0.7101384212495324,0.055818135676693116,0.8748545532352022,0.028855474614001925,0.21691721999086438,0.020004010812035934,0.0033615399966947733,0.0005373966228345542,439.0,887.3096979071062
Random Forest,0.6842105263157896,0.04385964912280703,0.6915824915824916,0.03964002042969226,0.8511614961614962,0.028272942617983222,0.674074074074074,0.0668265116183919,0.7090909090909091,0.07606000241218867,0.7507333509268564,0.04429784572819071,0.3523085781626101,0.07178274925016247,23.4,2.5099800796022262,9.6,2.5099800796022267,26.4,5.412947441089743,54.6,5.412947441089743,0.7515151515151515,0.048069613706662725,0.8963017774830746,0.01942858676273641,0.2029730200069025,0.01300880104589448,0.008165019983425736,0.0010394444253339968,439.0,887.3096979071062
