Model,Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1-score,MCC,TN,FP,FN,TP,ROC-AUC,PR-AUC,Training Time (s),Inference Time (s),Training Fraction,Training Size,Selection Score
Gradient Boosting,0.7280701754385965,0.6290684624017957,0.7777777777777778,0.8641975308641975,0.3939393939393939,0.8187134502923976,0.28715920067878825,13,20,11,70,0.6629255518144407,0.8152806730667657,0.12001160002546385,0.0035700000007636845,0.25,114,0.7437262488432079
Random Forest,0.7368421052631579,0.6531986531986532,0.7931034482758621,0.8518518518518519,0.45454545454545453,0.8214285714285714,0.32684580405003594,15,18,12,69,0.7418630751964085,0.8942059764893922,0.1541447999770753,0.007845300016924739,0.25,114,0.7670855379188712
Gradient Boosting,0.7368421052631579,0.6262626262626263,0.7741935483870968,0.8888888888888888,0.36363636363636365,0.8275862068965517,0.29542903223069444,12,21,9,72,0.7066965955854844,0.8383065035541644,0.16715079999994487,0.005938699992839247,0.5,228,0.7623585794083878
Random Forest,0.7280701754385965,0.6829405162738496,0.8205128205128205,0.7901234567901234,0.5757575757575758,0.8050314465408805,0.35697748350452024,19,14,17,64,0.7721661054994389,0.9056956999438337,0.2112238999688998,0.010553000029176474,0.5,228,0.7625653812760731
Gradient Boosting,0.6929824561403509,0.5415263748597082,0.73,0.9012345679012346,0.18181818181818182,0.8066298342541437,0.11475971928247808,6,27,8,73,0.7429854096520763,0.8896738278640666,0.1942935999832116,0.003393299994058907,0.75,342,0.7480940466667907
Random Forest,0.7192982456140351,0.712682379349046,0.855072463768116,0.7283950617283951,0.696969696969697,0.7866666666666666,0.39466642619775394,23,10,22,59,0.8032173587729143,0.9175118316082338,0.18383469997206703,0.007199999992735684,0.75,342,0.7577403666292555
Gradient Boosting,0.7280701754385965,0.5572390572390572,0.7358490566037735,0.9629629629629629,0.15151515151515152,0.8342245989304813,0.20324694243999442,5,28,3,78,0.7474747474747475,0.900762860310119,0.22511990001657978,0.0030783999827690423,1.0,456,0.7754753416518122
Random Forest,0.7280701754385965,0.7368125701459034,0.8787878787878788,0.7160493827160493,0.7575757575757576,0.7891156462585034,0.4350524711508843,25,8,23,58,0.813692480359147,0.923766157145469,0.19763950002379715,0.008219300012569875,1.0,456,0.7639175198699009
